  52
        52          T 
    513.53           7
     1.110    736.32423     29.20037
     1.460    736.32423     29.20037
     3.570    736.32423     29.20037
    14.280    736.32423     29.20037
    18.960    736.32423     29.20037
    20.120    740.39000     29.20037
        51          T 
    299.48           7
     0.000    740.35000     55.00000
     1.110    736.12405     29.00000
     1.820    736.11405     29.00000
     7.140    736.11405     34.00000
    12.500    736.11405     29.00000
    18.960    736.11405     55.00000
    20.120    740.34000     55.00000
        50          T 
    272.48           7
     0.000    739.56000     55.00000
     1.110    735.94230     29.00000
     7.150    735.93230     34.00000
     8.180    735.92230     34.00000
    12.510    735.92230     29.00000
    18.980    735.92230     55.00000
    20.110    739.58000     55.00000
        49          T 
    251.48           7
     0.000    738.94000     55.00000
     1.100    735.61345     29.00000
     7.160    735.60345     34.00000
    12.530    735.59345     29.00000
    13.120    735.58345     29.00000
    19.000    735.58345     55.00000
    20.100    738.98000     55.00000
        48          T 
    228.98           7
     0.000    738.28000     55.00000
     1.100    735.30394     35.00000
     5.380    735.28394     34.00000
    14.340    735.27394     29.00000
    18.420    735.26394     29.00000
    19.020    735.26394     55.00000
    20.090    738.34000     55.00000
        47          T 
    227.48           6
     0.000    738.24000     55.00000
     1.100    735.37698     35.00000
     3.580    735.35698     34.00000
    18.780    735.33698     34.00000
